"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
GA-021,"Bibb County",62.1,27,-2.0,64.1
GA-023,"Bleckley County",62.7,20,-2.5,65.2
GA-025,"Brantley County",65.9,35,-1.5,67.4
GA-027,"Brooks County",64.9,18,-2.5,67.4
GA-029,"Bryan County",65.6,33,-1.6,67.2
GA-031,"Bulloch County",64.2,32,-1.7,65.9
GA-033,"Burke County",62.4,32,-1.7,64.1
GA-035,"Butts County",61.2,39,-1.4,62.6
GA-037,"Calhoun County",64.0,18,-2.6,66.6
GA-039,"Camden County",67.4,35,-1.3,68.7
GA-043,"Candler County",64.1,34,-1.6,65.7
GA-045,"Carroll County",58.6,31,-2.0,60.6
GA-047,"Catoosa County",57.2,19,-2.8,60
GA-049,"Charlton County",67.0,40,-1.1,68.1
GA-051,"Chatham County",66.1,33,-1.5,67.6
GA-053,"Chattahoochee County",62.0,17,-3.0,65
GA-055,"Chattooga County",57.8,15,-2.9,60.7
GA-057,"Cherokee County",58.2,27,-2.0,60.2
GA-059,"Clarke County",60.0,35,-1.5,61.5
GA-061,"Clay County",64.0,23,-2.3,66.3
GA-063,"Clayton County",60.9,42,-1.1,62
GA-065,"Clinch County",65.9,34,-1.7,67.6
GA-067,"Cobb County",59.1,33,-1.7,60.8
GA-069,"Coffee County",63.9,21,-2.6,66.5
GA-071,"Colquitt County",63.5,13,-3.3,66.8
GA-073,"Columbia County",61.9,38,-1.5,63.4
GA-075,"Cook County",63.5,11,-3.4,66.9
GA-077,"Coweta County",60.1,33,-1.8,61.9
GA-079,"Crawford County",61.8,22,-2.2,64
GA-081,"Crisp County",62.5,16,-2.9,65.4
GA-083,"Dade County",56.5,15,-3.3,59.8
GA-085,"Dawson County",57.2,29,-1.8,59
GA-087,"Decatur County",65.5,21,-2.3,67.8
GA-089,"DeKalb County",60.1,39,-1.2,61.3
GA-091,"Dodge County",63.0,17,-2.6,65.6
GA-093,"Dooly County",62.5,18,-2.6,65.1
GA-095,"Dougherty County",63.8,17,-3.0,66.8
GA-097,"Douglas County",59.2,31,-1.7,60.9
GA-099,"Early County",64.6,21,-2.4,67
GA-101,"Echols County",66.3,33,-1.5,67.8
GA-103,"Effingham County",64.5,30,-1.6,66.1
GA-105,"Elbert County",60.1,38,-1.3,61.4
GA-107,"Emanuel County",63.4,35,-1.7,65.1
GA-109,"Evans County",64.9,33,-1.7,66.6
GA-111,"Fannin County",54.4,24,-2.5,56.9
GA-113,"Fayette County",60.8,37,-1.3,62.1
GA-115,"Floyd County",58.2,15,-2.8,61
GA-117,"Forsyth County",58.2,32,-1.8,60
GA-119,"Franklin County",59.2,26,-1.8,61
GA-121,"Fulton County",59.7,35,-1.4,61.1
GA-123,"Gilmer County",55.7,27,-2.3,58
GA-125,"Glascock County",61.5,30,-1.9,63.4
GA-127,"Glynn County",67.0,32,-1.7,68.7
GA-129,"Gordon County",58.2,17,-2.6,60.8
GA-131,"Grady County",65.3,20,-2.3,67.6
GA-133,"Greene County",60.7,32,-1.7,62.4
GA-135,"Gwinnett County",59.3,41,-1.5,60.8
GA-137,"Habersham County",56.8,16,-2.3,59.1
GA-139,"Hall County",58.4,31,-1.8,60.2
GA-141,"Hancock County",61.3,28,-1.9,63.2
GA-143,"Haralson County",57.7,28,-2.2,59.9
GA-145,"Harris County",60.7,16,-2.7,63.4
GA-147,"Hart County",59.6,34,-1.4,61
GA-149,"Heard County",59.6,28,-2.0,61.6
GA-151,"Henry County",61.0,39,-1.3,62.3
GA-153,"Houston County",62.5,19,-2.3,64.8
GA-155,"Irwin County",63.0,14,-3.1,66.1
GA-157,"Jackson County",59.6,33,-1.6,61.2
GA-159,"Jasper County",61.0,38,-1.4,62.4
GA-161,"Jeff Davis County",64.1,29,-2.2,66.3
GA-163,"Jefferson County",62.1,34,-1.7,63.8
GA-165,"Jenkins County",63.0,36,-1.5,64.5
GA-167,"Johnson County",62.8,31,-1.9,64.7
GA-169,"Jones County",61.6,29,-1.9,63.5
GA-171,"Lamar County",61.1,28,-1.8,62.9
GA-173,"Lanier County",64.4,17,-2.7,67.1
GA-175,"Laurens County",63.1,24,-2.2,65.3
GA-177,"Lee County",63.2,17,-2.9,66.1
GA-179,"Liberty County",66.0,32,-1.6,67.6
GA-181,"Lincoln County",61.1,33,-1.6,62.7
GA-183,"Long County",65.8,32,-1.6,67.4
GA-185,"Lowndes County",65.1,25,-2.3,67.4
GA-187,"Lumpkin County",56.2,28,-2.0,58.2
GA-189,"McDuffie County",61.2,32,-1.7,62.9
GA-191,"McIntosh County",66.8,30,-1.8,68.6
GA-193,"Macon County",62.2,18,-2.5,64.7
GA-195,"Madison County",59.7,36,-1.4,61.1
GA-197,"Marion County",61.6,17,-2.8,64.4
GA-199,"Meriwether County",60.4,27,-2.1,62.5
GA-201,"Miller County",64.9,21,-2.5,67.4
GA-205,"Mitchell County",64.2,16,-3.0,67.2
GA-207,"Monroe County",61.4,30,-1.8,63.2
GA-209,"Montgomery County",64.0,29,-2.0,66
GA-211,"Morgan County",60.6,36,-1.5,62.1
GA-213,"Murray County",57.3,20,-2.6,59.9
GA-215,"Muscogee County",61.9,16,-2.9,64.8
GA-217,"Newton County",60.7,42,-1.2,61.9
GA-219,"Oconee County",60.3,36,-1.4,61.7
GA-221,"Oglethorpe County",60.2,36,-1.4,61.6
GA-223,"Paulding County",58.5,28,-2.0,60.5
GA-225,"Peach County",62.2,24,-2.1,64.3
GA-227,"Pickens County",57.3,28,-2.1,59.4
GA-229,"Pierce County",65.7,35,-1.6,67.3
GA-231,"Pike County",61.0,30,-1.8,62.8
GA-233,"Polk County",58.1,20,-2.5,60.6
GA-235,"Pulaski County",62.8,18,-2.6,65.4
GA-237,"Putnam County",61.1,30,-1.8,62.9
GA-239,"Quitman County",63.3,22,-2.4,65.7
GA-241,"Rabun County",53.6,8,-3.3,56.9
GA-243,"Randolph County",63.2,19,-2.5,65.7
GA-245,"Richmond County",62.3,32,-1.8,64.1
GA-247,"Rockdale County",60.6,42,-1.1,61.7
GA-249,"Schley County",62.0,17,-2.7,64.7
GA-251,"Screven County",63.1,31,-1.8,64.9
GA-253,"Seminole County",65.4,20,-2.4,67.8
GA-255,"Spalding County",61.2,35,-1.5,62.7
GA-257,"Stephens County",58.5,16,-2.3,60.8
GA-259,"Stewart County",62.3,19,-2.8,65.1
GA-261,"Sumter County",62.6,19,-2.7,65.3
GA-263,"Talbot County",61.1,18,-2.6,63.7
GA-265,"Taliaferro County",60.7,30,-1.7,62.4
GA-267,"Tattnall County",65.0,29,-1.8,66.8
GA-269,"Taylor County",61.7,18,-2.5,64.2
GA-271,"Telfair County",63.5,21,-2.6,66.1
GA-273,"Terrell County",63.1,17,-2.8,65.9
GA-275,"Thomas County",65.0,19,-2.4,67.4
GA-277,"Tift County",62.6,8,-3.7,66.3
GA-279,"Toombs County",64.5,32,-1.8,66.3
GA-281,"Towns County",53.2,15,-2.8,56
GA-283,"Treutlen County",63.6,29,-2.0,65.6
GA-285,"Troup County",60.0,22,-2.4,62.4
GA-287,"Turner County",62.5,12,-3.2,65.7
GA-289,"Twiggs County",62.5,22,-2.2,64.7
GA-291,"Union County",53.9,23,-2.5,56.4
GA-293,"Upson County",61.3,26,-2.1,63.4
GA-295,"Walker County",57.0,16,-3.0,60
GA-297,"Walton County",60.1,38,-1.3,61.4
GA-299,"Ware County",66.0,35,-1.5,67.5
GA-301,"Warren County",61.0,29,-1.8,62.8
GA-303,"Washington County",62.2,28,-2.0,64.2
GA-305,"Wayne County",65.7,34,-1.6,67.3
GA-307,"Webster County",62.2,18,-2.8,65
GA-309,"Wheeler County",63.7,24,-2.3,66
GA-311,"White County",56.0,24,-2.2,58.2
GA-313,"Whitfield County",57.5,19,-2.7,60.2
GA-315,"Wilcox County",62.8,16,-2.8,65.6
GA-317,"Wilkes County",60.7,38,-1.4,62.1
GA-319,"Wilkinson County",62.5,24,-2.1,64.6
GA-321,"Worth County",62.9,12,-3.3,66.2
ID-001,"Ada County",54.8,113,3.0,51.8
ID-003,"Adams County",49.0,123,4.5,44.5
ID-005,"Bannock County",48.9,113,3.3,45.6
ID-007,"Bear Lake County",44.1,109,2.8,41.3
