"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
CO-073,"Lincoln County",0.12,16,-0.64,0.76
CO-075,"Logan County",0.34,30,-0.63,0.97
CO-077,"Mesa County",2.85,112,1.24,1.61
CO-079,"Mineral County",2.34,63,-0.48,2.82
CO-081,"Moffat County",1.46,70,-0.03,1.49
CO-083,"Montezuma County",1.73,77,0.05,1.68
CO-085,"Montrose County",2.04,98,0.57,1.47
CO-087,"Morgan County",0.43,43,-0.43,0.86
CO-089,"Otero County",0.14,22,-0.71,0.85
CO-091,"Ouray County",2.62,102,0.75,1.87
CO-093,"Park County",0.81,45,-0.37,1.18
CO-095,"Phillips County",0.25,27,-0.77,1.02
CO-097,"Pitkin County",2.82,98,0.71,2.11
CO-099,"Prowers County",0.07,12,-0.87,0.94
CO-101,"Pueblo County",0.34,31,-0.49,0.83
CO-103,"Rio Blanco County",2.27,94,0.55,1.72
CO-105,"Rio Grande County",1.8,102,0.58,1.22
CO-107,"Routt County",1.67,51,-0.39,2.06
CO-109,"Saguache County",1.4,78,0.01,1.39
CO-111,"San Juan County",3.12,65,-0.5,3.62
CO-113,"San Miguel County",2.04,90,0.34,1.7
CO-115,"Sedgwick County",0.29,23,-0.73,1.02
CO-117,"Summit County",1.59,56,-0.3,1.89
CO-119,"Teller County",0.56,27,-0.62,1.18
CO-121,"Washington County",0.22,21,-0.7,0.92
CO-123,"Weld County",0.67,58,-0.25,0.92
CO-125,"Yuma County",0.2,21,-0.79,0.99
CT-001,"Fairfield County",4.28,82,0.51,3.77
CT-003,"Hartford County",4.74,86,1.04,3.7
CT-005,"Litchfield County",4.65,86,0.86,3.79
CT-007,"Middlesex County",4.37,83,0.72,3.65
CT-009,"New Haven County",4.24,79,0.47,3.77
CT-011,"New London County",4.35,84,0.86,3.49
CT-013,"Tolland County",4.58,86,1.04,3.54
CT-015,"Windham County",4.64,87,1.09,3.55
DE-001,"Kent County",4.18,92,1.11,3.07
DE-003,"New Castle County",4.51,102,1.46,3.05
DE-005,"Sussex County",3.98,85,0.77,3.21
FL-001,"Alachua County",0.27,7,-2.85,3.12
FL-003,"Baker County",0.65,15,-2.65,3.3
FL-005,"Bay County",2.7,59,-0.39,3.09
FL-007,"Bradford County",0.58,11,-2.98,3.56
FL-009,"Brevard County",1.37,14,-3.63,5
FL-011,"Broward County",3.33,28,-3.43,6.76
FL-013,"Calhoun County",2.62,68,-0.26,2.88
FL-015,"Charlotte County",0.87,11,-2.8,3.67
FL-017,"Citrus County",0.79,17,-2.05,2.84
FL-019,"Clay County",1.15,17,-2.95,4.1
FL-021,"Collier County",1.89,23,-2.67,4.56
FL-023,"Columbia County",0.27,6,-2.75,3.02
FL-027,"DeSoto County",0.69,11,-2.82,3.51
FL-029,"Dixie County",0.33,12,-2.63,2.96
FL-031,"Duval County",1.6,25,-2.72,4.32
FL-033,"Escambia County",1.52,29,-2.02,3.54
FL-035,"Flagler County",1.67,25,-2.61,4.28
FL-037,"Franklin County",1.55,42,-1.49,3.04
FL-039,"Gadsden County",1.7,48,-0.99,2.69
FL-041,"Gilchrist County",0.24,7,-2.69,2.93
FL-043,"Glades County",0.99,12,-2.97,3.96
FL-045,"Gulf County",2.08,48,-0.99,3.07
FL-047,"Hamilton County",0.25,7,-2.46,2.71
FL-049,"Hardee County",0.53,6,-2.72,3.25
FL-051,"Hendry County",1.39,21,-2.85,4.24
FL-053,"Hernando County",1.0,25,-1.84,2.84
FL-055,"Highlands County",0.76,9,-2.96,3.72
FL-057,"Hillsborough County",0.78,14,-2.15,2.93
FL-059,"Holmes County",3.18,78,0.32,2.86
FL-061,"Indian River County",1.78,17,-4.02,5.8
FL-063,"Jackson County",2.9,79,0.29,2.61
FL-065,"Jefferson County",0.38,10,-2.34,2.72
FL-067,"Lafayette County",0.3,8,-2.61,2.91
FL-069,"Lake County",1.36,26,-1.86,3.22
FL-071,"Lee County",1.38,22,-2.49,3.87
FL-073,"Leon County",0.74,20,-2.04,2.78
FL-075,"Levy County",0.18,2,-2.69,2.87
FL-077,"Liberty County",1.92,48,-1.0,2.92
FL-079,"Madison County",0.3,8,-2.34,2.64
FL-081,"Manatee County",1.03,17,-2.17,3.2
FL-083,"Marion County",0.72,15,-2.38,3.1
FL-085,"Martin County",2.72,27,-3.35,6.07
FL-086,"Miami-Dade County",2.72,21,-4.01,6.73
FL-087,"Monroe County",1.96,17,-3.63,5.59
FL-089,"Nassau County",1.64,29,-2.22,3.86
FL-091,"Okaloosa County",1.97,36,-1.41,3.38
FL-093,"Okeechobee County",1.48,17,-3.2,4.68
FL-095,"Orange County",1.1,15,-2.57,3.67
FL-097,"Osceola County",1.19,17,-2.84,4.03
FL-099,"Palm Beach County",2.74,27,-3.46,6.2
FL-101,"Pasco County",0.93,18,-1.92,2.85
FL-103,"Pinellas County",1.15,20,-1.81,2.96
FL-105,"Polk County",0.54,6,-2.62,3.16
FL-107,"Putnam County",1.23,20,-2.71,3.94
FL-109,"St. Johns County",1.82,26,-2.8,4.62
FL-111,"St. Lucie County",2.2,20,-3.89,6.09
FL-113,"Santa Rosa County",1.6,34,-1.91,3.51
FL-115,"Sarasota County",0.97,15,-2.55,3.52
FL-117,"Seminole County",0.89,10,-3.09,3.98
FL-119,"Sumter County",1.19,29,-1.65,2.84
FL-121,"Suwannee County",0.25,7,-2.62,2.87
FL-123,"Taylor County",0.32,8,-2.54,2.86
FL-125,"Union County",0.35,8,-2.9,3.25
FL-127,"Volusia County",0.97,7,-3.38,4.35
FL-129,"Wakulla County",0.9,25,-2.04,2.94
FL-131,"Walton County",2.47,56,-0.74,3.21
FL-133,"Washington County",3.18,79,0.27,2.91
GA-001,"Appling County",2.38,74,-0.19,2.57
GA-003,"Atkinson County",1.93,63,-0.47,2.4
GA-005,"Bacon County",2.53,76,-0.01,2.54
GA-007,"Baker County",1.77,60,-0.51,2.28
GA-009,"Baldwin County",1.19,34,-1.33,2.52
GA-011,"Banks County",1.03,21,-2.44,3.47
GA-013,"Barrow County",1.05,20,-2.16,3.21
GA-015,"Bartow County",1.47,30,-1.49,2.96
GA-017,"Ben Hill County",1.47,51,-0.91,2.38
GA-019,"Berrien County",1.37,40,-0.95,2.32
GA-021,"Bibb County",0.91,28,-1.54,2.45
GA-023,"Bleckley County",0.96,37,-1.41,2.37
GA-025,"Brantley County",2.0,43,-1.05,3.05
GA-027,"Brooks County",0.7,18,-1.71,2.41
GA-029,"Bryan County",1.04,28,-1.68,2.72
GA-031,"Bulloch County",1.22,33,-1.32,2.54
GA-033,"Burke County",3.01,83,0.35,2.66
GA-035,"Butts County",1.91,45,-0.8,2.71
GA-037,"Calhoun County",1.84,61,-0.45,2.29
GA-039,"Camden County",1.79,30,-1.92,3.71
GA-043,"Candler County",1.41,41,-1.08,2.49
GA-045,"Carroll County",2.78,70,-0.08,2.86
GA-047,"Catoosa County",1.69,29,-1.49,3.18
GA-049,"Charlton County",1.43,29,-1.69,3.12
GA-051,"Chatham County",0.97,24,-1.9,2.87
GA-053,"Chattahoochee County",1.96,64,-0.25,2.21
GA-055,"Chattooga County",2.51,48,-0.74,3.25
GA-057,"Cherokee County",1.43,25,-1.74,3.17
GA-059,"Clarke County",0.98,23,-2.11,3.09
GA-061,"Clay County",1.95,68,-0.33,2.28
GA-063,"Clayton County",1.93,45,-0.89,2.82
GA-065,"Clinch County",1.38,33,-1.19,2.57
GA-067,"Cobb County",1.75,35,-1.26,3.01
GA-069,"Coffee County",2.0,65,-0.43,2.43
GA-071,"Colquitt County",1.06,37,-1.21,2.27
GA-073,"Columbia County",1.58,46,-1.33,2.91
GA-075,"Cook County",1.08,33,-1.23,2.31
GA-077,"Coweta County",2.21,58,-0.51,2.72
GA-079,"Crawford County",1.18,38,-1.25,2.43
GA-081,"Crisp County",1.39,52,-0.83,2.22
GA-083,"Dade County",2.11,39,-1.18,3.29
GA-085,"Dawson County",1.54,24,-2.06,3.6
GA-087,"Decatur County",1.93,60,-0.52,2.45
GA-089,"DeKalb County",1.9,37,-1.05,2.95
GA-091,"Dodge County",1.22,44,-1.2,2.42
GA-093,"Dooly County",1.39,49,-0.84,2.23
GA-095,"Dougherty County",1.51,53,-0.68,2.19
GA-097,"Douglas County",2.22,52,-0.73,2.95
GA-099,"Early County",2.3,74,-0.05,2.35
